id,house_size,rooms,distance_miles,price_k
1,2137,4,2.4,424
2,2646,7,3.7,573
3,2334,5,2.4,477
4,2537,7,14.5,482
5,3750,6,7.6,703
6,1573,4,8,303
7,3045,6,12.6,544
8,3433,6,1.2,653
9,3613,7,0.4,693
10,1612,5,0.3,348
11,1170,5,9.1,256
12,1231,5,14.5,241
13,3949,8,2.9,779
14,3464,6,4.1,636
15,3408,7,6.3,665
16,1997,5,2.7,432
17,2089,6,7.3,457
18,3252,6,6.5,605
19,2459,5,12,441
20,2400,5,11.7,459
21,3158,6,3.4,633
22,3259,7,0.8,637
23,3666,6,0.6,712
24,1553,5,12.5,311
25,3498,6,1.4,669
26,1200,4,1,259
27,3332,7,4.5,634
28,1916,4,12.7,373
29,3778,6,14.6,664
30,3368,7,12.1,644
31,3551,7,10,650
32,3919,7,2.1,733
33,3745,8,12.1,722
34,1863,5,2.2,409
35,1758,5,3.3,379
36,3266,7,1.6,634
37,2886,7,2.1,576
38,1811,5,7.5,387
39,2702,6,12.9,509
40,3366,6,9.2,612
41,1886,5,12.9,384
42,3135,6,3.7,616
43,1649,5,1.4,389
44,2195,5,10.2,432
45,2982,6,13.9,555
46,1422,5,1,322
47,2699,5,13.3,475
48,3915,7,1.7,736
49,2610,6,13.9,482
50,1967,4,9.2,381
51,2271,6,14.5,447
52,1845,4,9.8,365
53,1962,6,11.4,402
54,3490,7,1.2,674
55,1133,4,5.8,257
56,1136,5,5.7,284
57,1093,4,7.7,232
58,1541,5,12.4,294
59,1173,4,7.3,242
60,2314,6,3.5,469
61,3735,8,1,753
62,3621,7,11.4,695
63,1586,5,5.6,335
64,1898,5,6.3,394
65,1746,4,3.5,333
66,3385,6,1.2,652
67,2783,6,0.8,543
68,3743,8,15,706
69,2906,6,11.8,558
70,1510,4,8.7,296
71,3421,7,2.7,652
72,1751,4,1.8,351
73,1453,4,3.4,306
74,2229,6,3.2,451
75,3817,8,3.2,747
76,3440,7,5,682
77,2596,6,7.7,511
78,2484,6,0.3,511
79,3745,7,10.5,700
80,1128,5,6.7,265
81,3690,6,2.4,678
82,2915,6,14.7,553
83,2500,6,9,489
84,2751,5,12.9,475
85,2232,6,6,473
86,2874,5,3.3,564
87,3594,8,1.9,716
88,3567,6,6.6,643
89,3060,6,3.6,578
90,1124,3,12.5,206
91,2401,5,4,480
92,3464,7,9.1,671
93,1457,4,4.1,316
94,2566,6,3.4,535
95,3083,7,13.7,603
96,1729,5,5.8,345
97,1435,4,7.8,307
98,3521,6,8.8,637
99,2156,5,4.4,423
100,3170,7,11.5,583
101,2731,6,11.4,540
102,2003,5,9.3,391
103,1294,4,12.7,244
104,2978,5,3.7,535
105,2629,6,0.5,527
106,2211,5,12,409
107,3146,6,4.1,610
108,2167,6,8.6,419
109,2614,6,7.8,503
110,2691,7,9.4,534
111,3824,8,14.7,714
112,2733,5,14.4,508
113,1500,4,8.4,283
114,2925,6,14.9,557
115,1606,4,6.5,322
116,1012,3,12.7,213
117,3373,6,9.3,621
118,2439,5,8.8,465
119,3773,8,8.2,748
120,2907,6,14.2,528
121,1253,3,6,259
122,2795,6,11.6,522
123,2754,6,5.9,543
124,1500,4,8.6,317
125,1752,4,7.5,338
126,2469,5,8.2,460
127,1856,5,12.7,374
128,2858,7,9.3,554
129,2276,6,0.6,468
130,3785,6,13.7,682
131,1866,4,7.3,375
132,3119,6,3.2,604
133,3264,7,14.8,617
134,1331,4,1.6,310
135,1058,3,1,245
136,2758,7,15,518
137,3109,7,2.1,618
138,3829,7,3.2,750
139,3742,7,7.8,680
140,1776,4,8.3,340
141,2620,5,1.3,538
142,2671,5,10.8,485
143,1894,5,9.5,393
144,3509,8,11.1,682
145,2380,5,14.8,436
146,2080,6,5.4,459
147,1862,5,2.5,380
148,2411,6,5.3,482
149,1508,4,6,296
150,3860,7,5.6,727
151,3318,7,13.9,627
152,2401,5,6,478
153,2184,6,9.3,462
154,2802,7,5,572
155,3967,7,5.1,758
156,3820,8,6.6,724
157,2308,6,6.2,456
158,2596,5,2.4,489
159,3840,8,10.1,715
160,3400,6,9.4,619
161,2826,6,0.4,560
162,3513,8,13.5,646
163,2616,6,9.7,512
164,2352,6,7.7,451
165,2590,6,9.8,510
166,3334,7,10,655
167,1805,4,13.5,357
168,1047,3,2.8,220
169,2252,6,14.9,454
170,3798,7,13,715
171,3023,6,3.8,594
172,1014,3,6.8,225
173,2704,6,10.7,538
174,1191,5,6.6,272
175,2229,6,9.5,473
176,2265,5,14,421
177,1404,3,1.7,274
178,2092,6,8.3,413
179,3159,6,11,583
180,2606,6,11.9,512
181,1284,4,7.4,250
182,2194,6,7.4,436
183,2563,6,7.4,525
184,3980,7,1.5,733
185,1731,5,4.1,377
186,3157,6,5.5,585
187,3981,8,0.7,778
188,2731,7,10.4,530
189,2477,5,6.7,491
190,2535,7,5.4,541
191,2359,5,7.6,476
192,2215,5,14.5,430
193,3674,8,13.9,714
194,2006,6,15,400
195,1613,5,0.7,345
196,1821,5,13.9,354
197,2784,6,7.9,523
198,1431,5,8.2,295
199,3413,8,3.3,677
200,1643,5,8.2,345
201,3799,8,1.3,727
202,1183,4,4.5,259
203,3768,8,10.3,709
204,2751,6,13.6,539
205,3703,8,14.3,695
206,3766,8,8.4,718
207,2547,5,13,474
208,1542,5,7,326
209,1208,5,4.5,311
210,2385,5,4.1,445
211,3657,6,13.3,630
212,2361,6,2.6,471
213,1225,4,8.6,252
214,3523,7,3.2,688
215,3052,6,1.2,599
216,2948,7,2.5,589
217,1789,5,0.2,370
218,2340,5,14,427
219,1629,4,14.2,287
220,3275,6,15,611
221,1902,6,14.9,362
222,3168,6,3,628
223,2845,6,6.9,568
224,1777,5,12,350
225,3421,7,8.2,629
226,1160,5,14.2,267
227,1345,3,8.9,256
228,1506,5,7.3,304
229,2267,6,6.5,451
230,2322,6,8.4,475
231,2167,4,8.4,406
232,2312,5,3.3,440
233,3816,7,11.3,728
234,2237,5,7.9,459
235,2684,5,7.2,510
236,3208,6,3,626
237,3298,6,3.7,651
238,3487,7,1.2,680
239,3429,7,11.1,631
240,1825,4,9.3,369
241,1636,4,10.1,328
242,1466,5,12,316
243,3338,7,6.3,642
244,1177,5,12.5,257
245,3803,7,12.9,677
246,2448,5,10.6,465
247,2769,6,5.8,524
248,1047,4,10.4,214
249,2263,6,10.6,448
250,1056,3,8.3,242
251,1750,5,4.7,376
252,2090,5,13.2,383
253,3560,8,14.7,687
254,3626,8,2.2,737
255,3207,6,6.5,600
256,3845,7,5.8,712
257,2654,7,4.7,560
258,3308,6,15.2,579
259,1466,4,1,344
260,2552,6,1.3,519
261,1336,4,8.1,295
262,3576,8,6.4,688
263,1728,5,9.8,336
264,1675,4,3.1,356
265,1763,5,4,371
266,2077,5,11.3,423
267,3640,8,9.5,721
268,2642,5,5,490
269,1317,4,10.8,274
270,1877,5,12.2,380
271,2683,6,7.9,532
272,1845,5,5.9,364
273,2251,5,1.5,436
274,2317,6,1.8,481
275,3201,6,10.4,602
276,1267,5,14.9,284
277,2614,7,4.3,550
278,3742,7,1.2,746
279,1789,4,7.2,327
280,2326,5,12.1,461
281,3733,7,4.6,715
282,2047,6,1,455
283,3985,7,6.3,748
284,3569,6,4.4,677
285,3250,6,12.8,587
286,1111,4,9.3,239
287,1819,4,11.7,319
288,3171,6,6.8,620
289,3341,7,10.1,635
290,1081,4,9.5,224
291,2216,6,8.6,450
292,3182,7,10.1,623
293,2104,5,13,394
294,1682,4,1.5,340
295,3638,7,1.4,709
296,1491,5,10.5,327
297,2529,5,4.3,478
298,3072,6,9.6,577
299,2995,7,10,596
300,3103,6,9.2,584
301,2903,6,7.8,539
302,2812,7,10,552
303,2185,6,10.2,428
304,3125,6,2.2,593
305,3801,6,8.9,703
306,1891,6,0.2,448
307,2515,5,5.3,485
308,3941,7,3.8,752
309,3258,7,3.1,647
310,2652,6,1.6,537
311,3185,6,12.2,568
312,2850,7,15,557
313,3642,6,6.9,665
314,2393,5,11.2,469
315,1959,4,5.4,359
316,2757,7,3.9,567
317,2996,6,2.8,595
318,2668,6,11.2,518
319,1518,4,1.9,313
320,3269,7,11.6,599
321,2869,5,4.1,536
322,3622,7,4.5,694
323,2070,5,11.4,388
324,2711,5,12.2,515
325,2571,5,4.7,519
326,3413,6,13.8,617
327,2232,6,5.5,438
328,1012,4,7.3,253
329,1056,5,1.2,273
330,3052,5,1,582
331,1586,4,4.5,306
332,3182,7,10,618
333,3873,7,15,718
334,3632,7,0.7,693
335,2020,4,8.8,394
336,1629,5,8.6,333
337,3144,7,3.1,631
338,2549,5,1,500
339,2172,5,10.7,431
340,2818,5,5.4,538
341,2930,7,4.5,603
342,1048,4,5.7,253
343,2082,5,8.1,430
344,3598,8,14.3,694
345,3261,6,9.1,588
346,2226,6,5.3,466
347,3533,7,3.8,691
348,1014,3,7.4,228
349,3893,8,5.2,760
350,3635,8,10,699
351,1886,5,0.3,387
352,2823,6,13.9,513
353,2426,5,9.4,452
354,3302,7,6.1,651
355,3027,7,2.8,627
356,1894,4,11.6,372
357,1700,5,11.4,357
358,3579,7,10.1,676
359,3834,8,2.5,736
360,1833,4,12.5,332
361,3661,7,1.1,703
362,1248,5,9.3,299
363,2026,5,4.4,431
364,2064,5,1.2,417
365,2682,5,5.8,528
366,1119,3,13.2,191
367,3030,7,11.3,598
368,1716,4,7.9,351
369,2260,4,13.4,384
370,3393,7,8.2,657
371,1788,6,1.3,400
372,1830,5,8.3,356
373,2610,5,4.5,499
374,2578,7,13,497
375,1706,5,1.7,357
376,2514,5,10.7,453
377,1436,5,7.9,315
378,1719,5,6.1,380
379,1586,5,7.3,341
380,2428,5,2.4,473
381,1723,4,1.5,375
382,2058,6,14.7,430
383,2808,6,8.3,520
384,3212,6,2.2,602
385,3457,7,8.2,665
386,1763,5,12.6,351
387,2242,5,11.3,408
388,2018,4,10,377
389,2863,6,6.3,552
390,1746,4,10.4,314
391,1480,5,5.5,326
392,2060,5,12.9,376
393,3596,7,10.7,694
394,3040,5,14.3,526
395,3685,6,9.6,653
396,1776,5,6.9,347
397,2756,6,2.1,540
398,3821,7,1.9,730
399,1356,5,0.5,332
400,1877,4,5.9,377
401,2261,6,4.8,484
402,2099,5,12.1,424
403,1332,4,10.1,262
404,1635,5,6.6,341
405,2733,7,11.1,525
406,3571,7,14.7,650
407,3526,7,1.8,705
408,2025,6,14.7,393
409,2866,6,13.1,552
410,3233,7,6.3,647
411,3673,7,6.6,719
412,2648,6,1,514
413,2134,4,0.8,403
414,3262,7,4.3,658
415,2339,6,14.1,456
416,3788,7,1.8,706
417,3160,7,13.7,580
418,1426,4,8.3,310
419,2889,6,13.3,562
420,3200,7,14.8,597
421,3245,6,4.8,621
422,2944,6,3.8,593
423,1690,4,5.2,353
424,3641,7,6.9,703
425,3515,7,14.4,673
426,3030,7,14.7,567
427,2499,5,3,514
428,3210,7,7.4,605
429,2354,6,12.3,466
430,3762,7,4.3,701
431,3360,6,6.8,646
432,3006,6,11,560
433,3431,6,12.1,619
434,2425,6,2.7,509
435,3973,7,8.9,740
436,3315,6,11.8,626
437,3131,7,9.6,625
438,1225,3,3.4,275
439,1553,4,5.1,333
440,3813,6,5.8,707
441,3425,6,6.1,653
442,2627,5,11.8,494
443,3047,6,9.1,560
444,3794,8,3,765
445,1186,4,5.1,266
446,3540,7,12.7,653
447,1809,5,5.4,400
448,1157,5,2.5,272
449,3678,8,3.8,708
450,3262,7,4.4,625
451,3912,7,1.3,742
452,1626,4,3.1,329
453,1237,4,0.8,266
454,2857,5,7.7,519
455,3824,8,12.1,700
456,1081,4,14,218
457,2421,5,2.7,500
458,3565,8,12.7,668
459,1419,5,12.9,278
460,1734,5,0.3,367
461,1595,4,0.6,350
462,1491,4,12,312
463,3187,6,2.5,612
464,2522,5,2.7,470
465,3912,8,2.8,755
466,1958,5,15,393
467,2130,5,11.1,388
468,1187,5,0.3,278
469,2044,5,2.8,446
470,2832,6,4,576
471,3323,8,8,660
472,1821,4,13.8,336
473,3986,7,11.6,717
474,1316,5,7.6,314
475,2296,4,9.5,433
476,2680,6,2.9,555
477,1136,4,2.7,266
478,2952,7,2.2,591
479,3277,6,2.3,617
480,1498,4,1.6,303
481,3174,6,13.4,576
482,3329,7,10.8,650
483,2005,5,8.8,398
484,3372,6,11.9,600
485,3656,8,12.9,685
486,1766,4,8.6,345
487,3007,7,2.7,601
488,3061,7,14.2,588
489,3332,6,7.7,631
490,2469,6,4.9,501
491,3613,7,11.3,685
492,3160,7,7,638
493,2461,5,9.9,456
494,2232,4,5.3,427
495,3065,6,2,578
496,2219,5,12.9,427
497,2254,4,2.8,412
498,3557,8,2.3,728
499,1659,5,0.7,382
500,1646,5,12.1,345
